Season,Finals_MVP
1996,Michael Jordan
1997,Michael Jordan
1998,Tim Duncan
1999,Shaquille O'Neal
2000,Shaquille O'Neal
2001,Shaquille O'Neal
2002,Tim Duncan
2003,Chauncey Billups
2004,Tim Duncan
2005,Dwyane Wade
2006,Tony Parker
2007,Paul Pierce
2008,Kobe Bryant
2009,Kobe Bryant
2010,Dirk Nowitzki
2011,LeBron James
2012,LeBron James
2013,Kawhi Leonard
2014,Andre Iguodala
2015,LeBron James
2016,Kevin Durant
2017,Kevin Durant
2018,Kawhi Leonard
2019,LeBron James
2020,Giannis Antetokounmpo
2021,Stephen Curry
2022,Nikola Jokic
